path,task,dataset,artifact_type,bytes,sha256
link/dblp/ecc_predictor.pt,link,dblp,torch_artifact,113938,f7253744c8fc3303b9687403320a83d366ef9da79be1b35f1c458ba6064a8d32
link/dblp/model_graph.pt,link,dblp,torch_artifact,656432,7c205248a54e996a175bc0bbe1dcd8f86cfbbb5fb52d51162b3f8c2d44d62cd8
link/pubmed/ecc_predictor.pt,link,pubmed,torch_artifact,113938,398c47973a5433513fc117c95bc162bb2c4be7255e2a69208ca82e89fc55e481
link/pubmed/model_graph.pt,link,pubmed,torch_artifact,656432,8581e6246504c8e83ce09e8ef26e5cbd22a61c78368c7f430a88c2cceef39f4a
link/pubmed/PubMed.db,link,pubmed,sqlite_database,208896,4bf755de541e5e27097ccf3b4089afdbc42c3c13f2f7d08afa54e6495c9b36b1
link/texas/ecc_predictor.pt,link,texas,torch_artifact,113938,ba2a5022d8cb33b5b0ef74a11323d8e063991f3bcb9f2a3ba17c2667b16af7d6
link/texas/model_graph.pt,link,texas,torch_artifact,656432,9de07a62184bd3d1aba688da2bc5d24691fc8bc232e772479269f7b14058b689
link/texas/Texas.db,link,texas,sqlite_database,208896,71183b60790c5b5572a69ccdffd5607b79d9ca32176c29f370d47b202707d5bc
link/wisconsin/ecc_predictor.pt,link,wisconsin,torch_artifact,113938,625b56af9f32d506b092c6b7c9e451ba392976221b516a4ada8f111146e6219e
link/wisconsin/model_graph.pt,link,wisconsin,torch_artifact,656432,ed41f81dfb7663eab64a85956d934c6eeaeb4e4d80e145f2c74ed660e8a1d893
link/wisconsin/Wisconsin.db,link,wisconsin,sqlite_database,208896,d532964f8e8dcad492f953e480e1a3ac036b83bc633c6032d3f805e80dd41da9
node/actor/Actor.db,node,actor,sqlite_database,380928,8bf1fa0807db81d62fa657e84279547226f0123cce3447d9c1b18bdac3fbe1c7
node/actor/ecc_predictor.pt,node,actor,torch_artifact,113938,e6b12d92be26aab3b075ab86f3d74a941c1fbafea53ddfae0d55d2d1d1115e8a
node/actor/model_graph.pt,node,actor,torch_artifact,1206192,1c7f0d0b329c62f9dd25a805d2c0c70d51bb82ef156e4ff65763dd43be17b3e9
node/amazoncomputers/AmazonComputers.db,node,amazoncomputers,sqlite_database,380928,b158cae3e15002b69d9912c74244399a4d5d6cd91e452f41f87b65ee2d9523ba
node/amazoncomputers/ecc_predictor.pt,node,amazoncomputers,torch_artifact,113938,5c3ba9c9ef8f322bcbce2db3585bb1bd256ec5efcceafe57042a65584d79ff40
node/amazoncomputers/model_graph.pt,node,amazoncomputers,torch_artifact,1206192,a5b30aaf8fc224870dd9b9b2cb2927228d6e7c5f4119c9c9c4cb633289ec5b21
node/amazonphoto/AmazonPhoto.db,node,amazonphoto,sqlite_database,380928,6fd2b6d336fd0a05f1ae81cc0dec5e52e2f423e62d8e5b6499018e37aaf8d028
node/amazonphoto/ecc_predictor.pt,node,amazonphoto,torch_artifact,113938,06c66e0a296ec5c78ab0442853f6f5e613f84cd9fd9a6fff0a3e2d83bcbf3cc9
node/amazonphoto/model_graph.pt,node,amazonphoto,torch_artifact,1206192,e6c34f251e7736dae5675ecac34e6cf93f6a879f44219e850d7fb4d4c77f11a7
node/citeseer/CiteSeer.db,node,citeseer,sqlite_database,380928,3932a76d9601c53346de72a7710a473d14e6d08176f0af2d6f6e4c9f871fda31
node/citeseer/ecc_predictor.pt,node,citeseer,torch_artifact,113938,9cd616ecf7ec3d827d2933ca209ffda26989710e81a5ff268d19e8e29e0781fc
node/citeseer/model_graph.pt,node,citeseer,torch_artifact,1206192,06e1df25999e1ec009eb5c652a2a43b8d409b1d4cb7e5072e28551d53bdc556e
node/coauthorcs/CoauthorCS.db,node,coauthorcs,sqlite_database,380928,0bd1dc1e34e9123227270261dc9bdc6c4f979c92ce6d9d26b550f15bbfe52a15
node/coauthorcs/ecc_predictor.pt,node,coauthorcs,torch_artifact,113938,bf6583aa793f04e10cb5323a126d7b17335d9054d349eccf75313dbbd97819c4
node/coauthorcs/model_graph.pt,node,coauthorcs,torch_artifact,1206192,f6c212241e6591c9ed8c3d93d0e552926492184fcc3426a090d251b3dd363f0a
node/cora/Cora.db,node,cora,sqlite_database,380928,643e3b81e914e96ca71976b81d9f285518c23bdb5147e08c12ec3d6b89db367b
node/cora/ecc_predictor.pt,node,cora,torch_artifact,113938,64538b97e048b3424143bee487554525d816bdb0f146c935fb5f8fb55fe5379a
node/cora/model_graph.pt,node,cora,torch_artifact,1206192,61e4c98c8cb9761a8049ece8b973592f7a7a18373476d5df58bb404929328c6c
node/cornell/Cornell.db,node,cornell,sqlite_database,380928,e74178e00a8429f1c9b3c23a1fa3a03fed66a5b00ae4fd0c555a469b2745d444
node/cornell/ecc_predictor.pt,node,cornell,torch_artifact,113938,c15dfaf4f11d3dbbd1602655de6c9cd9b0a80a4e6d4a9d2947e048fd14b7030a
node/cornell/model_graph.pt,node,cornell,torch_artifact,1206192,e28434c89f115077ee2a359c18aa1576a3e63e4ccb601e04ba2e8e6d64e0d693
node/dblp/DBLP.db,node,dblp,sqlite_database,380928,ec9350323b51bad87543bacfd42ae2aa6c7b90edce88f3494400f152f5f7d5eb
node/dblp/ecc_predictor.pt,node,dblp,torch_artifact,113938,7f7ba3a2a8840ce63eaa406b91e5a9a1da767c3781f6802856c87ee57aae3537
node/dblp/model_graph.pt,node,dblp,torch_artifact,1206192,7517b0a51b216ece6cc5fee8b30341262f11bcfaac5a86059904d38b542116ff
node/pubmed/ecc_predictor.pt,node,pubmed,torch_artifact,113938,2f1ea1e82fca77389195720a96c057d3f9b1ba61d10db0455a107f41e77032ae
node/pubmed/model_graph.pt,node,pubmed,torch_artifact,1206192,b02feddb76743a8efd08d6fdf5a0dfd9fbfaa622fd7dedac3a294e1e1e4b8def
node/pubmed/PubMed.db,node,pubmed,sqlite_database,380928,c78a0ce54edcf35330f929a2c783738d17a15213b13e489db7b83d9369ac3c1b
node/texas/ecc_predictor.pt,node,texas,torch_artifact,113938,9622f7cf051f636ba20bfc676727878651bd42a243648a8dc7367dbab9440693
node/texas/model_graph.pt,node,texas,torch_artifact,1206192,1ab888e6111384c28436affb6d11d98aed3710862668b281a3abd654cf6c70db
node/texas/Texas.db,node,texas,sqlite_database,380928,85492ed36d3ccea452480f8e3a62ba74f66f4eb98aef65949d14b0329eb28118
node/wisconsin/ecc_predictor.pt,node,wisconsin,torch_artifact,113938,d1ef278dbf88daa8b5a58d82b9130c37c2990e03e9e1d1ff7055519d1635e63b
node/wisconsin/model_graph.pt,node,wisconsin,torch_artifact,1206192,9a0d832a1c166279b0239bd005bc33d48bf570a88896ccac115264519208b800
node/wisconsin/Wisconsin.db,node,wisconsin,sqlite_database,380928,4b7afd256717e0495ae70d75abfbc97a9746a4445a8d3100b55d0054b0003deb
